video_clip_id,target_clip_ids,video_clip_narration,target_clip_narration,instruction,modified_captions
a4528822-10e4-4e2d-8912-f6638d14572d_0_5,['a4528822-10e4-4e2d-8912-f6638d14572d_61_70'],#C C removes a screw from a  brake caliper on a motorcycle with both hands.,#C C picks the t-spanner on the floor with his right hand.,Pick up the tool instead.," #C C picks up the tool with his left hand"
a4528822-10e4-4e2d-8912-f6638d14572d_61_70,['a4528822-10e4-4e2d-8912-f6638d14572d_0_5'],#C C picks the t-spanner on the floor with his right hand.,#C C removes a screw from a  brake caliper on a motorcycle with both hands.,Use both hands to remove the screw.," #C C removes the screw with both hands."
752dd54d-7835-475a-bccd-931fcf1e9655_0_5,['752dd54d-7835-475a-bccd-931fcf1e9655_297_306'],#C C walks around workshop,#C C stirs paint,Stir the paint.," #C C stirs the paint."
752dd54d-7835-475a-bccd-931fcf1e9655_297_306,['752dd54d-7835-475a-bccd-931fcf1e9655_0_5'],#C C stirs paint,#C C walks around workshop,Walk around instead.," #C C walks around the plate."
94afcdb9-fa91-41a2-8949-64a1a2327f4d_970_979,['94afcdb9-fa91-41a2-8949-64a1a2327f4d_949_958'],#C C shifts dog thread to left hand on their way,#C C stands with dog,Stop walking.," #C C stops on the road."
94afcdb9-fa91-41a2-8949-64a1a2327f4d_949_958,['94afcdb9-fa91-41a2-8949-64a1a2327f4d_970_979'],#C C stands with dog,#C C shifts dog thread to left hand on their way,Shift it to the other hand while walking.," #C C holds the dog with his left hand while walking."
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_373_382,['fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_1468_1477'],#C C puts the bucket aside,#c c holds bucket,Hold it instead.," #C C holds the litter with his left hand."
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_421_430,['fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_0_7'],#C C touch face,#C C wipes the face,Wipe it instead.," #C C wipes the surface."
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_0_7,['fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_421_430'],#C C wipes the face,#C C touch face,Touch it instead.," #C C touches the spade."
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_1468_1477,['fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_373_382'],#c c holds bucket,#C C puts the bucket aside,Put it aside.," #C C puts the bucket aside."
453dc4a1-57b2-4803-9156-cf30016c3a79_3271_3280,['453dc4a1-57b2-4803-9156-cf30016c3a79_119_128'],#C C wipes the hand,#C C looks around,Look around instead.," #C C looks around."
453dc4a1-57b2-4803-9156-cf30016c3a79_119_128,['453dc4a1-57b2-4803-9156-cf30016c3a79_3271_3280'],#C C looks around,#C C wipes the hand,Wipe the hand instead.," #C C wipes his hand in the room."
3fa54ca6-3988-4a7f-9295-41236f4ee925_223_232,['3fa54ca6-3988-4a7f-9295-41236f4ee925_125_133'],#C C removes both hands from the scooter bike.,#C C removes his right hand from the scooter bike.,Remove one hand only.," #C C removes his right hand from the sc"
3fa54ca6-3988-4a7f-9295-41236f4ee925_125_133,['3fa54ca6-3988-4a7f-9295-41236f4ee925_223_232'],#C C removes his right hand from the scooter bike.,#C C removes both hands from the scooter bike.,Use both hands.," #C C holds the scooter's front cover with both hands."
3211e658-8467-4539-a67d-c7226767c989_197_206,['3211e658-8467-4539-a67d-c7226767c989_210_219'],#C C picks the knife.,#C C scoops the spring onions from the knife.,Scoop them from it.," #C C scoops with the knife."
3211e658-8467-4539-a67d-c7226767c989_210_219,['3211e658-8467-4539-a67d-c7226767c989_197_206'],#C C scoops the spring onions from the knife.,#C C picks the knife.,Pick up the knife.," #C C picks up the knife with his right hand"
9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_687_696,['9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_701_708'],#C C drops the spoon in the bowl,#C C drops the bowl on the counter,Drop the bowl instead.," #C C drops the bowl."
9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_701_708,['9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_687_696'],#C C drops the bowl on the counter,#C C drops the spoon in the bowl,Drop the utensil instead.," #C C drops the utensil into the plate."
57f2f332-414a-465b-a48f-b567db67c817_60_69,['57f2f332-414a-465b-a48f-b567db67c817_0_6'],#C C presses the timber,#C C sticks the nail on the timber,Stick the nail on it.," #C C sticks the nail on it."
57f2f332-414a-465b-a48f-b567db67c817_0_6,['57f2f332-414a-465b-a48f-b567db67c817_60_69'],#C C sticks the nail on the timber,#C C presses the timber,Press it instead.," #C C presses the nail."
25c120c8-8e0c-43e0-b458-db26a6e71327_328_337,['25c120c8-8e0c-43e0-b458-db26a6e71327_296_305'],#C C drops the sponge on the sink,#C C picks a sponge on the sink,Pick it up.," #C C picks up the tap handle."
25c120c8-8e0c-43e0-b458-db26a6e71327_296_305,['25c120c8-8e0c-43e0-b458-db26a6e71327_328_337'],#C C picks a sponge on the sink,#C C drops the sponge on the sink,Drop it.," #C C drops the tap handle."
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_211_220,['216e3f0e-ccb9-4d54-ba56-d275fedbf52f_80_89'],#C C holds the handle of the fry pan with his left hand.,#C C places his left hand over the fry pan.,Place the hand over it.," #C C places hand over the egg."
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_80_89,['216e3f0e-ccb9-4d54-ba56-d275fedbf52f_211_220'],#C C places his left hand over the fry pan.,#C C holds the handle of the fry pan with his left hand.,Hold the handle instead.," #C C holds the handle of the gas cooker with his right hand."
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_80_89,['216e3f0e-ccb9-4d54-ba56-d275fedbf52f_264_273'],#C C places his left hand over the fry pan.,#C C picks up the fry pan.,Pick it up.," #C C picks up the frying pan with his left hand."
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_264_273,['216e3f0e-ccb9-4d54-ba56-d275fedbf52f_80_89'],#C C picks up the fry pan.,#C C places his left hand over the fry pan.,Place hand over it.," #C C places hand over the egg in the pan."
716d39a8-9090-4948-8a7a-2b8d78078718_48_57,['716d39a8-9090-4948-8a7a-2b8d78078718_0_6'],#C C rubs both hands together,#C C picks a piece of fire wood with right hand,Pick up the object.," #C C picks up the piece of wood from the stove."
716d39a8-9090-4948-8a7a-2b8d78078718_0_6,['716d39a8-9090-4948-8a7a-2b8d78078718_48_57'],#C C picks a piece of fire wood with right hand,#C C rubs both hands together,Rub hands together.," #C C rubs hands together."
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_104_113,['2f6da5f6-e26c-4ac3-8f71-12386f7588e2_168_177'],#C C scrapes carrot remains from the grater into the brown bowl,#C C picks carrot from the brown bowl with her right hand,Pick it up from the bowl.," #C C picks grated carrot from the bowl."
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_146_155,['2f6da5f6-e26c-4ac3-8f71-12386f7588e2_168_177'],#C C scrapes carrot remains from the grater into the brown bowl,#C C picks carrot from the brown bowl with her right hand,Pick it up from the bowl.," #C C picks the carrot from the brown bowl with his right hand."
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_128_137,['2f6da5f6-e26c-4ac3-8f71-12386f7588e2_168_177'],#C C scrapes carrot remains from the grater into the brown bowl,#C C picks carrot from the brown bowl with her right hand,Pick it up from the bowl.," #C C picks the grater from the bowl with both hands."
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_168_177,"['2f6da5f6-e26c-4ac3-8f71-12386f7588e2_104_113', '2f6da5f6-e26c-4ac3-8f71-12386f7588e2_146_155', '2f6da5f6-e26c-4ac3-8f71-12386f7588e2_128_137']",#C C picks carrot from the brown bowl with her right hand,#C C scrapes carrot remains from the grater into the brown bowl,Scrape it into the bowl.," #C C scrapes the carrot into the bowl."
99b5f1cf-672b-4429-b547-6d7b444fe75f_200_209,['99b5f1cf-672b-4429-b547-6d7b444fe75f_33_41'],#C C attaches the wire to the adapter,#C C unscrews an adapter screw with his hand,Unscrew it instead.," #C C unscrews the plug from the adapter."
99b5f1cf-672b-4429-b547-6d7b444fe75f_33_41,['99b5f1cf-672b-4429-b547-6d7b444fe75f_200_209'],#C C unscrews an adapter screw with his hand,#C C attaches the wire to the adapter,Attach the wire.," #C C attaches the wire with the pliers."
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3652_3661,['b505339f-e9da-4ee8-81c8-f2a60063a9d7_3686_3695'],#C C paints on the canvas with the paintbrush in her right hand.,#C C drops the palette in her left hand on the floor.,Drop the palette.," #C C drops the palette."
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3868_3877,['b505339f-e9da-4ee8-81c8-f2a60063a9d7_3664_3673'],#C C paints on the canvas with the paintbrush in her right hand.,#C C applies paint on the paintbrush from the palette with her right hand.,Charge the brush instead.," #C C charges the brush with paint."
93357145-49fb-4128-b5da-25bc9602daf0_1538_1547,['93357145-49fb-4128-b5da-25bc9602daf0_1500_1509'],#C C makes a hand gesture,#C C picks a screw drill,Pick up the tool.," #C C picks up the tool near the car."
21dd0acb-4549-4439-90a9-9d920bbc603d_12306_12315,['21dd0acb-4549-4439-90a9-9d920bbc603d_12349_12358'],#C C dips the paint brush in his right hand in a container of paint on the floor.,#C C drops the paintbrush in his right hand on the container of paint on the floor.,Drop the object instead.," #C C drops the paint brush."
21dd0acb-4549-4439-90a9-9d920bbc603d_12349_12358,"['21dd0acb-4549-4439-90a9-9d920bbc603d_12284_12293', '21dd0acb-4549-4439-90a9-9d920bbc603d_12306_12315']",#C C drops the paintbrush in his right hand on the container of paint on the floor.,#C C dips the paint brush in his right hand in a container of paint on the floor.,Dip it instead.," #C C dips something in water."
21dd0acb-4549-4439-90a9-9d920bbc603d_12284_12293,['21dd0acb-4549-4439-90a9-9d920bbc603d_12349_12358'],#C C dips the paint brush in his right hand in a container of paint on the floor.,#C C drops the paintbrush in his right hand on the container of paint on the floor.,Drop it instead.," #C C drops the paintbrush."
81cd38d9-a5de-4f5d-ba45-12c58d7740ad_106_115,['81cd38d9-a5de-4f5d-ba45-12c58d7740ad_0_7'],#C C presses the internal socket,#C C places the internal socket on the electric duct,Place it on the duct.," #C C places the cable on the duct."
81cd38d9-a5de-4f5d-ba45-12c58d7740ad_0_7,['81cd38d9-a5de-4f5d-ba45-12c58d7740ad_106_115'],#C C places the internal socket on the electric duct,#C C presses the internal socket,Press it into place.," #C C presses the phone into place"
9439c7e7-2eb7-4651-80b9-aac3a0795c96_510_519,['9439c7e7-2eb7-4651-80b9-aac3a0795c96_366_375'],#C C opens the tap by its handle on the sink with her right hand.,#C C closes the tap by its handle on the sink with her right hand.,Close it.," #C C closes the tap with her right hand."
9439c7e7-2eb7-4651-80b9-aac3a0795c96_366_375,['9439c7e7-2eb7-4651-80b9-aac3a0795c96_510_519'],#C C closes the tap by its handle on the sink with her right hand.,#C C opens the tap by its handle on the sink with her right hand.,Open it instead.," #C C opens the pot."
60c1aa5a-9682-4576-826d-25a1e1075982_2996_3005,['60c1aa5a-9682-4576-826d-25a1e1075982_2976_2985'],#C C puts a card on the table,#C C shuffles a card,Shuffle it instead.," #C C shuffles the card."
60c1aa5a-9682-4576-826d-25a1e1075982_2976_2985,['60c1aa5a-9682-4576-826d-25a1e1075982_2996_3005'],#C C shuffles a card,#C C puts a card on the table,Place it on the table.," #O man X places it on the table."
274bea99-673e-43a3-b5d5-d49c98cccc8c_1413_1422,['274bea99-673e-43a3-b5d5-d49c98cccc8c_1393_1402'],#C C presses a keyboard with his left hand,#C C presses a mouse with his right hand,Press the mouse instead.," #C C presses the mouse on the table."
274bea99-673e-43a3-b5d5-d49c98cccc8c_1393_1402,['274bea99-673e-43a3-b5d5-d49c98cccc8c_1413_1422'],#C C presses a mouse with his right hand,#C C presses a keyboard with his left hand,Press the keyboard with the other hand.," #C C presses the keyboard with his left hand."
479c4b6d-f278-40eb-9a7c-a193ff0d4bac_28_37,['479c4b6d-f278-40eb-9a7c-a193ff0d4bac_0_4'],#C C moves the ice cream cup close to the dog.,#C C feeds a dog with the ice cream.,Feed the dog.," #C C feeds the dog with yoghurt."
479c4b6d-f278-40eb-9a7c-a193ff0d4bac_0_4,['479c4b6d-f278-40eb-9a7c-a193ff0d4bac_28_37'],#C C feeds a dog with the ice cream.,#C C moves the ice cream cup close to the dog.,Bring it closer to the dog.," #C C brings it closer to the dog."
f61a6422-1806-43d8-87d6-bc24d9768d9d_197_206,['f61a6422-1806-43d8-87d6-bc24d9768d9d_125_134'],#C C turns the piece of cloth.,#C C looks at the piece of cloth.,Look at it instead.," #C C looks at the cloth."
f61a6422-1806-43d8-87d6-bc24d9768d9d_125_134,['f61a6422-1806-43d8-87d6-bc24d9768d9d_197_206'],#C C looks at the piece of cloth.,#C C turns the piece of cloth.,Turn it.," #C C turns the needle."
2bdeff04-c125-4d0a-a554-4ec88ae9ad49_441_450,['2bdeff04-c125-4d0a-a554-4ec88ae9ad49_499_508'],#C C continues crocheting with the yarn,#C C turns the crochet to its other side,Turn it over.," #C C turns the crochet piece over."
2bdeff04-c125-4d0a-a554-4ec88ae9ad49_499_508,['2bdeff04-c125-4d0a-a554-4ec88ae9ad49_441_450'],#C C turns the crochet to its other side,#C C continues crocheting with the yarn,Continue the activity.," #C C continues to pull the knitting thread with her left hand."
df7bdd06-c392-4a3d-ae1a-cdc234582472_107_115,['df7bdd06-c392-4a3d-ae1a-cdc234582472_34_43'],#C C stops brushing the plank.,#C C pauses briefly.,Pause the action.," #C C pauses with her left hand on the pillar."
df7bdd06-c392-4a3d-ae1a-cdc234582472_0_5,['df7bdd06-c392-4a3d-ae1a-cdc234582472_107_115'],#C C switches a sandpaper from his left hand to his right hand.,#C C stops brushing the plank.,Stop brushing.," #C C stops brushing the baluster with sandpaper."
df7bdd06-c392-4a3d-ae1a-cdc234582472_34_43,['df7bdd06-c392-4a3d-ae1a-cdc234582472_107_115'],#C C pauses briefly.,#C C stops brushing the plank.,Stop the action.," #C C stops sanding the wooden members."
5b35682f-c4e4-4467-9718-8c2febcc1bce_365_374,['5b35682f-c4e4-4467-9718-8c2febcc1bce_383_392'],#C C moves a nail gun on the ground.,#C C drops the nail gun on a pile of woods.,Drop it on the pile.," #C C drops the wood onto the pile."
5b35682f-c4e4-4467-9718-8c2febcc1bce_383_392,['5b35682f-c4e4-4467-9718-8c2febcc1bce_365_374'],#C C drops the nail gun on a pile of woods.,#C C moves a nail gun on the ground.,Move it to the ground.," #C C moves the nail on the ground."
1a3b59d0-cdb0-4d94-b16b-227e68ade632_157_165,['1a3b59d0-cdb0-4d94-b16b-227e68ade632_143_152'],#C C takes bolt,#C C removes #unsure from the drill,Remove it from the drill.," #C C removes the bolt from the drill."
1a3b59d0-cdb0-4d94-b16b-227e68ade632_143_152,['1a3b59d0-cdb0-4d94-b16b-227e68ade632_157_165'],#C C removes #unsure from the drill,#C C takes bolt,Take the bolt.," #C C takes the bolt from the crane."
8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_453_462,['8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_130_139'],#C C smears the watercolor on the paint brush,#C C stares the painted stone on the table,Look at it instead.," #C C looks at the stone."
8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_130_139,['8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_453_462'],#C C stares the painted stone on the table,#C C smears the watercolor on the paint brush,Smear watercolor on it.," #C C smears watercolor on the brush."
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_16_25,['148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_342_351'],#C C picks a hand tiller on a table with his right hand.,#C C drops the hand tiller by the side of the flower pot with his right hand,Drop it by the pot.," #C C drops water by the pot."
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_16_25,['148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_225_234'],#C C picks a hand tiller on a table with his right hand.,#C C places the hand tiller beside the flower pot,Place it beside the pot.," #C C places the fertilizer beside the pot."
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_342_351,['148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_16_25'],#C C drops the hand tiller by the side of the flower pot with his right hand,#C C picks a hand tiller on a table with his right hand.,Pick it up from the table.," #C C picks up the fertilizer from the table"
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_225_234,['148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_16_25'],#C C places the hand tiller beside the flower pot,#C C picks a hand tiller on a table with his right hand.,Pick it up from the table.," #C C picks up the garden hose from the table with his left hand"
ba11fcda-0048-4440-a7e8-fd15d1661a27_0_5,['ba11fcda-0048-4440-a7e8-fd15d1661a27_66_75'],#C C picks a cup from the kitchen cabinet,#C C looks at his dog,Look at the dog instead.," #C C looks at the dog."
271d7528-09b8-4649-bb55-183a94d6a626_158_167,['271d7528-09b8-4649-bb55-183a94d6a626_90_99'],#C C plays  labyrinth board game,#C C plays with labyrinth board game piece,Play with a piece.," #C C moves a game piece."
271d7528-09b8-4649-bb55-183a94d6a626_90_99,['271d7528-09b8-4649-bb55-183a94d6a626_158_167'],#C C plays with labyrinth board game piece,#C C plays  labyrinth board game,Continue playing without specifying the piece.," #O man X continues playing the game."
6d8ea536-c8f2-4eea-8adc-16a4379a151b_160_169,['6d8ea536-c8f2-4eea-8adc-16a4379a151b_191_200'],# C C moves wood in the store,#C C puts piece of wood on the table,Place it on the table.," #C C puts the piece of wood on the table."
60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1256_1265,['60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1072_1081'],#C c smoothens the timber with a sander,#C c touches the surface of the timber,Touch the surface instead.," #C C touches the wood with the left hand"
60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1072_1081,['60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1256_1265'],#C c touches the surface of the timber,#C c smoothens the timber with a sander,Use a sander on it.," #C C uses a sander on the wood."
439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565,['439a78ee-4776-4b70-9ac2-896f9f22f44c_582_591'],#C C rinses the pot.,#C C cleans the pot with a napkin.,Clean it with a napkin.," #C C wipes the bowl with a napkin."
439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565,['439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565'],#C C rinses the pot.,#C C rinses the pot.,No change required.," #C C washes the bowl"
439a78ee-4776-4b70-9ac2-896f9f22f44c_524_533,['439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565'],#C C pours the water in the pot in the sink.,#C C rinses the pot.,Rinse it instead.," #C C rinses the potatoes."
439a78ee-4776-4b70-9ac2-896f9f22f44c_582_591,['439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565'],#C C cleans the pot with a napkin.,#C C rinses the pot.,Rinse it instead.," #C C rinses under the tap."
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3852_3861,['5af8e5f9-2a28-485c-9604-6f5f9f290c82_2698_2707'],#C C moves aside the grasses with his hands.,#C C drops the grasses on the floor with his left hand,Drop them instead.," #C C drops the grasses."
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3852_3861,['5af8e5f9-2a28-485c-9604-6f5f9f290c82_3886_3895'],#C C moves aside the grasses with his hands.,#C C cuts the grasses into his hand on the farm with the hand sickle.,Cut them instead.," #C C cuts the grasses."
5af8e5f9-2a28-485c-9604-6f5f9f290c82_2698_2707,['5af8e5f9-2a28-485c-9604-6f5f9f290c82_3852_3861'],#C C drops the grasses on the floor with his left hand,#C C moves aside the grasses with his hands.,Move them aside.," #C C moves objects aside in the room."
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3886_3895,['5af8e5f9-2a28-485c-9604-6f5f9f290c82_3852_3861'],#C C cuts the grasses into his hand on the farm with the hand sickle.,#C C moves aside the grasses with his hands.,Move them aside.," #C C moves the grasses aside with his left hand."
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3886_3895,['5af8e5f9-2a28-485c-9604-6f5f9f290c82_2797_2806'],#C C cuts the grasses into his hand on the farm with the hand sickle.,#C C stops cutting the grasses,Cease cutting.," #C C stops cutting the grass with the sickle."
4e258eca-edcd-4fbf-92bb-b03749e3c531_127_136,['4e258eca-edcd-4fbf-92bb-b03749e3c531_81_90'],#C C removes the diaphragm assembly of the carburetor with his right hand.,#C C unscrews the cover of the carburetor with the screwdriver in his right hand.,Unscrew the cover instead.," #C C unscrews the carburetor cover with his right hand."
4e258eca-edcd-4fbf-92bb-b03749e3c531_81_90,['4e258eca-edcd-4fbf-92bb-b03749e3c531_127_136'],#C C unscrews the cover of the carburetor with the screwdriver in his right hand.,#C C removes the diaphragm assembly of the carburetor with his right hand.,Remove the diaphragm assembly.," #C C removes the diaphragm assembly."
fdcdf464-a350-452d-9741-f6725e138192_410_419,['fdcdf464-a350-452d-9741-f6725e138192_348_357'],#C C applies grease on the bicycle rear derailleur from the bottle.,#C C rolls the bicycle wheel with the pedal.,Roll the wheel instead.," #C C rolls the bicycle wheel with his right hand."
fdcdf464-a350-452d-9741-f6725e138192_348_357,['fdcdf464-a350-452d-9741-f6725e138192_410_419'],#C C rolls the bicycle wheel with the pedal.,#C C applies grease on the bicycle rear derailleur from the bottle.,Grease the component instead.," #C C greases the bicycle chain."
20aef6e8-db69-4b84-910f-e8d90657cc1c_19_28,['20aef6e8-db69-4b84-910f-e8d90657cc1c_84_93'],# C C puts the plate in the sink,#C C puts the sponge on the table,Place it on the table.," #C C places the plate on the table."
20aef6e8-db69-4b84-910f-e8d90657cc1c_84_93,['20aef6e8-db69-4b84-910f-e8d90657cc1c_19_28'],#C C puts the sponge on the table,# C C puts the plate in the sink,Place it in the sink.," #C C places the bowl in the sink."
7989f7d6-cfc7-423d-829d-267456132dbd_22_31,['7989f7d6-cfc7-423d-829d-267456132dbd_62_71'],#C C adjusts his camera. #unsure,#C C picks up the wrench iron from the floor,Pick up the wrench.," #C C picks up the wrench."
7989f7d6-cfc7-423d-829d-267456132dbd_62_71,['7989f7d6-cfc7-423d-829d-267456132dbd_22_31'],#C C picks up the wrench iron from the floor,#C C adjusts his camera. #unsure,Adjust the camera instead.," #C C adjusts the camera on the table."
8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_516_525,['8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_203_212'],#C C rides the bicycle on the pavement,#C C looks on the opposite side of the road,Look the other way.," #C C rides a bicycle looking the other way."
8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_203_212,['8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_516_525'],#C C looks on the opposite side of the road,#C C rides the bicycle on the pavement,Ride the bicycle.," #C C rides the bicycle."
aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_0_5,['aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_131_140'],#C C picks up a bolt on the table with his right hand. #unsure,#C C removes a seal from the bicycle's rim with the pliers,Remove it with pliers.," #C C removes the bike wheel from the table with pliers."
aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_131_140,['aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_0_5'],#C C removes a seal from the bicycle's rim with the pliers,#C C picks up a bolt on the table with his right hand. #unsure,Pick up the bolt instead.," #C C picks up the bolt with both hands."
a348f979-bf8f-4ff7-9fc1-8d2c370a6021_2046_2055,['a348f979-bf8f-4ff7-9fc1-8d2c370a6021_1946_1955'],#c c puts the brick down,#c c walks back,Walk back instead.," #C C walks back."
543ac6fc-9f77-4cdd-b7fe-6721cb037916_21_30,['543ac6fc-9f77-4cdd-b7fe-6721cb037916_0_6'],#C C touches the cylinder head with his left hand.,#C C removes the cylinder head from the engine with both hands.,Remove it with both hands.," #C C removes the nut from the engine with both hands."
543ac6fc-9f77-4cdd-b7fe-6721cb037916_0_6,['543ac6fc-9f77-4cdd-b7fe-6721cb037916_21_30'],#C C removes the cylinder head from the engine with both hands.,#C C touches the cylinder head with his left hand.,Touch it with one hand.," #C C touches the engine with one hand."
a2b38cad-b708-4956-8d37-0b8f474c75f5_2775_2784,['a2b38cad-b708-4956-8d37-0b8f474c75f5_2732_2741'],#C C picks the screw driver from the floor with his right hand,#C C screws the screw to the alternator with the screw driver in his right hand,Screw it into place.," #C C screws the box into place."
