clip_name,narration_text,video_uid
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_1468_1477,#c c holds bucket,fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a
453dc4a1-57b2-4803-9156-cf30016c3a79_3271_3280,#C C wipes the hand,453dc4a1-57b2-4803-9156-cf30016c3a79
453dc4a1-57b2-4803-9156-cf30016c3a79_119_128,#C C looks around,453dc4a1-57b2-4803-9156-cf30016c3a79
3fa54ca6-3988-4a7f-9295-41236f4ee925_223_232,#C C removes both hands from the scooter bike.,3fa54ca6-3988-4a7f-9295-41236f4ee925
3fa54ca6-3988-4a7f-9295-41236f4ee925_125_133,#C C removes his right hand from the scooter bike.,3fa54ca6-3988-4a7f-9295-41236f4ee925
3211e658-8467-4539-a67d-c7226767c989_197_206,#C C picks the knife.,3211e658-8467-4539-a67d-c7226767c989
3211e658-8467-4539-a67d-c7226767c989_210_219,#C C scoops the spring onions from the knife.,3211e658-8467-4539-a67d-c7226767c989
9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_687_696,#C C drops the spoon in the bowl,9b8e8dc6-4069-4ef4-b8b2-edeb76894d53
9b8e8dc6-4069-4ef4-b8b2-edeb76894d53_701_708,#C C drops the bowl on the counter,9b8e8dc6-4069-4ef4-b8b2-edeb76894d53
57f2f332-414a-465b-a48f-b567db67c817_60_69,#C C presses the timber,57f2f332-414a-465b-a48f-b567db67c817
57f2f332-414a-465b-a48f-b567db67c817_0_6,#C C sticks the nail on the timber,57f2f332-414a-465b-a48f-b567db67c817
25c120c8-8e0c-43e0-b458-db26a6e71327_328_337,#C C drops the sponge on the sink,25c120c8-8e0c-43e0-b458-db26a6e71327
25c120c8-8e0c-43e0-b458-db26a6e71327_296_305,#C C picks a sponge on the sink,25c120c8-8e0c-43e0-b458-db26a6e71327
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_211_220,#C C holds the handle of the fry pan with his left hand.,216e3f0e-ccb9-4d54-ba56-d275fedbf52f
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_80_89,#C C places his left hand over the fry pan.,216e3f0e-ccb9-4d54-ba56-d275fedbf52f
216e3f0e-ccb9-4d54-ba56-d275fedbf52f_264_273,#C C picks up the fry pan.,216e3f0e-ccb9-4d54-ba56-d275fedbf52f
716d39a8-9090-4948-8a7a-2b8d78078718_48_57,#C C rubs both hands together,716d39a8-9090-4948-8a7a-2b8d78078718
716d39a8-9090-4948-8a7a-2b8d78078718_0_6,#C C picks a piece of fire wood with right hand,716d39a8-9090-4948-8a7a-2b8d78078718
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_104_113,#C C scrapes carrot remains from the grater into the brown bowl,2f6da5f6-e26c-4ac3-8f71-12386f7588e2
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_146_155,#C C scrapes carrot remains from the grater into the brown bowl,2f6da5f6-e26c-4ac3-8f71-12386f7588e2
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_128_137,#C C scrapes carrot remains from the grater into the brown bowl,2f6da5f6-e26c-4ac3-8f71-12386f7588e2
2f6da5f6-e26c-4ac3-8f71-12386f7588e2_168_177,#C C picks carrot from the brown bowl with her right hand,2f6da5f6-e26c-4ac3-8f71-12386f7588e2
99b5f1cf-672b-4429-b547-6d7b444fe75f_200_209,#C C attaches the wire to the adapter,99b5f1cf-672b-4429-b547-6d7b444fe75f
99b5f1cf-672b-4429-b547-6d7b444fe75f_33_41,#C C unscrews an adapter screw with his hand,99b5f1cf-672b-4429-b547-6d7b444fe75f
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3686_3695,#C C drops the palette in her left hand on the floor.,b505339f-e9da-4ee8-81c8-f2a60063a9d7
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3652_3661,#C C paints on the canvas with the paintbrush in her right hand.,b505339f-e9da-4ee8-81c8-f2a60063a9d7
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3868_3877,#C C paints on the canvas with the paintbrush in her right hand.,b505339f-e9da-4ee8-81c8-f2a60063a9d7
b505339f-e9da-4ee8-81c8-f2a60063a9d7_3664_3673,#C C applies paint on the paintbrush from the palette with her right hand.,b505339f-e9da-4ee8-81c8-f2a60063a9d7
93357145-49fb-4128-b5da-25bc9602daf0_1538_1547,#C C makes a hand gesture,93357145-49fb-4128-b5da-25bc9602daf0
93357145-49fb-4128-b5da-25bc9602daf0_1500_1509,#C C picks a screw drill,93357145-49fb-4128-b5da-25bc9602daf0
21dd0acb-4549-4439-90a9-9d920bbc603d_12306_12315,#C C dips the paint brush in his right hand in a container of paint on the floor.,21dd0acb-4549-4439-90a9-9d920bbc603d
21dd0acb-4549-4439-90a9-9d920bbc603d_12349_12358,#C C drops the paintbrush in his right hand on the container of paint on the floor.,21dd0acb-4549-4439-90a9-9d920bbc603d
21dd0acb-4549-4439-90a9-9d920bbc603d_12284_12293,#C C dips the paint brush in his right hand in a container of paint on the floor.,21dd0acb-4549-4439-90a9-9d920bbc603d
81cd38d9-a5de-4f5d-ba45-12c58d7740ad_106_115,#C C presses the internal socket,81cd38d9-a5de-4f5d-ba45-12c58d7740ad
81cd38d9-a5de-4f5d-ba45-12c58d7740ad_0_7,#C C places the internal socket on the electric duct,81cd38d9-a5de-4f5d-ba45-12c58d7740ad
9439c7e7-2eb7-4651-80b9-aac3a0795c96_510_519,#C C opens the tap by its handle on the sink with her right hand.,9439c7e7-2eb7-4651-80b9-aac3a0795c96
9439c7e7-2eb7-4651-80b9-aac3a0795c96_366_375,#C C closes the tap by its handle on the sink with her right hand.,9439c7e7-2eb7-4651-80b9-aac3a0795c96
60c1aa5a-9682-4576-826d-25a1e1075982_2996_3005,#C C puts a card on the table,60c1aa5a-9682-4576-826d-25a1e1075982
60c1aa5a-9682-4576-826d-25a1e1075982_2976_2985,#C C shuffles a card,60c1aa5a-9682-4576-826d-25a1e1075982
274bea99-673e-43a3-b5d5-d49c98cccc8c_1413_1422,#C C presses a keyboard with his left hand,274bea99-673e-43a3-b5d5-d49c98cccc8c
274bea99-673e-43a3-b5d5-d49c98cccc8c_1393_1402,#C C presses a mouse with his right hand,274bea99-673e-43a3-b5d5-d49c98cccc8c
479c4b6d-f278-40eb-9a7c-a193ff0d4bac_28_37,#C C moves the ice cream cup close to the dog.,479c4b6d-f278-40eb-9a7c-a193ff0d4bac
479c4b6d-f278-40eb-9a7c-a193ff0d4bac_0_4,#C C feeds a dog with the ice cream.,479c4b6d-f278-40eb-9a7c-a193ff0d4bac
f61a6422-1806-43d8-87d6-bc24d9768d9d_197_206,#C C turns the piece of cloth.,f61a6422-1806-43d8-87d6-bc24d9768d9d
f61a6422-1806-43d8-87d6-bc24d9768d9d_125_134,#C C looks at the piece of cloth.,f61a6422-1806-43d8-87d6-bc24d9768d9d
2bdeff04-c125-4d0a-a554-4ec88ae9ad49_441_450,#C C continues crocheting with the yarn,2bdeff04-c125-4d0a-a554-4ec88ae9ad49
2bdeff04-c125-4d0a-a554-4ec88ae9ad49_499_508,#C C turns the crochet to its other side,2bdeff04-c125-4d0a-a554-4ec88ae9ad49
df7bdd06-c392-4a3d-ae1a-cdc234582472_107_115,#C C stops brushing the plank.,df7bdd06-c392-4a3d-ae1a-cdc234582472
df7bdd06-c392-4a3d-ae1a-cdc234582472_0_5,#C C switches a sandpaper from his left hand to his right hand.,df7bdd06-c392-4a3d-ae1a-cdc234582472
df7bdd06-c392-4a3d-ae1a-cdc234582472_34_43,#C C pauses briefly.,df7bdd06-c392-4a3d-ae1a-cdc234582472
5b35682f-c4e4-4467-9718-8c2febcc1bce_365_374,#C C moves a nail gun on the ground.,5b35682f-c4e4-4467-9718-8c2febcc1bce
5b35682f-c4e4-4467-9718-8c2febcc1bce_383_392,#C C drops the nail gun on a pile of woods.,5b35682f-c4e4-4467-9718-8c2febcc1bce
1a3b59d0-cdb0-4d94-b16b-227e68ade632_157_165,#C C takes bolt,1a3b59d0-cdb0-4d94-b16b-227e68ade632
1a3b59d0-cdb0-4d94-b16b-227e68ade632_143_152,#C C removes #unsure from the drill,1a3b59d0-cdb0-4d94-b16b-227e68ade632
8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_453_462,#C C smears the watercolor on the paint brush,8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d
8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d_130_139,#C C stares the painted stone on the table,8da5f5a1-ae5f-45e8-a7f7-3226547c3c4d
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_16_25,#C C picks a hand tiller on a table with his right hand.,148bbdfe-f5c9-450a-a39f-9ed79a0d23ed
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_342_351,#C C drops the hand tiller by the side of the flower pot with his right hand,148bbdfe-f5c9-450a-a39f-9ed79a0d23ed
148bbdfe-f5c9-450a-a39f-9ed79a0d23ed_225_234,#C C places the hand tiller beside the flower pot,148bbdfe-f5c9-450a-a39f-9ed79a0d23ed
ba11fcda-0048-4440-a7e8-fd15d1661a27_66_75,#C C looks at his dog,ba11fcda-0048-4440-a7e8-fd15d1661a27
ba11fcda-0048-4440-a7e8-fd15d1661a27_0_5,#C C picks a cup from the kitchen cabinet,ba11fcda-0048-4440-a7e8-fd15d1661a27
271d7528-09b8-4649-bb55-183a94d6a626_158_167,#C C plays  labyrinth board game,271d7528-09b8-4649-bb55-183a94d6a626
271d7528-09b8-4649-bb55-183a94d6a626_90_99,#C C plays with labyrinth board game piece,271d7528-09b8-4649-bb55-183a94d6a626
6d8ea536-c8f2-4eea-8adc-16a4379a151b_160_169,# C C moves wood in the store,6d8ea536-c8f2-4eea-8adc-16a4379a151b
6d8ea536-c8f2-4eea-8adc-16a4379a151b_191_200,#C C puts piece of wood on the table,6d8ea536-c8f2-4eea-8adc-16a4379a151b
60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1256_1265,#C c smoothens the timber with a sander,60f4b15e-b23e-4c7f-9cb3-f51ac164bb23
60f4b15e-b23e-4c7f-9cb3-f51ac164bb23_1072_1081,#C c touches the surface of the timber,60f4b15e-b23e-4c7f-9cb3-f51ac164bb23
439a78ee-4776-4b70-9ac2-896f9f22f44c_556_565,#C C rinses the pot.,439a78ee-4776-4b70-9ac2-896f9f22f44c
439a78ee-4776-4b70-9ac2-896f9f22f44c_524_533,#C C pours the water in the pot in the sink.,439a78ee-4776-4b70-9ac2-896f9f22f44c
439a78ee-4776-4b70-9ac2-896f9f22f44c_582_591,#C C cleans the pot with a napkin.,439a78ee-4776-4b70-9ac2-896f9f22f44c
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3852_3861,#C C moves aside the grasses with his hands.,5af8e5f9-2a28-485c-9604-6f5f9f290c82
5af8e5f9-2a28-485c-9604-6f5f9f290c82_2698_2707,#C C drops the grasses on the floor with his left hand,5af8e5f9-2a28-485c-9604-6f5f9f290c82
5af8e5f9-2a28-485c-9604-6f5f9f290c82_3886_3895,#C C cuts the grasses into his hand on the farm with the hand sickle.,5af8e5f9-2a28-485c-9604-6f5f9f290c82
5af8e5f9-2a28-485c-9604-6f5f9f290c82_2797_2806,#C C stops cutting the grasses,5af8e5f9-2a28-485c-9604-6f5f9f290c82
4e258eca-edcd-4fbf-92bb-b03749e3c531_127_136,#C C removes the diaphragm assembly of the carburetor with his right hand.,4e258eca-edcd-4fbf-92bb-b03749e3c531
4e258eca-edcd-4fbf-92bb-b03749e3c531_81_90,#C C unscrews the cover of the carburetor with the screwdriver in his right hand.,4e258eca-edcd-4fbf-92bb-b03749e3c531
fdcdf464-a350-452d-9741-f6725e138192_410_419,#C C applies grease on the bicycle rear derailleur from the bottle.,fdcdf464-a350-452d-9741-f6725e138192
fdcdf464-a350-452d-9741-f6725e138192_348_357,#C C rolls the bicycle wheel with the pedal.,fdcdf464-a350-452d-9741-f6725e138192
20aef6e8-db69-4b84-910f-e8d90657cc1c_19_28,# C C puts the plate in the sink,20aef6e8-db69-4b84-910f-e8d90657cc1c
20aef6e8-db69-4b84-910f-e8d90657cc1c_84_93,#C C puts the sponge on the table,20aef6e8-db69-4b84-910f-e8d90657cc1c
7989f7d6-cfc7-423d-829d-267456132dbd_22_31,#C C adjusts his camera. #unsure,7989f7d6-cfc7-423d-829d-267456132dbd
7989f7d6-cfc7-423d-829d-267456132dbd_62_71,#C C picks up the wrench iron from the floor,7989f7d6-cfc7-423d-829d-267456132dbd
8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_516_525,#C C rides the bicycle on the pavement,8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48
8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48_203_212,#C C looks on the opposite side of the road,8fdc8697-27a3-4a1f-b4a0-fde63d4cfd48
aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_0_5,#C C picks up a bolt on the table with his right hand. #unsure,aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533
aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533_131_140,#C C removes a seal from the bicycle's rim with the pliers,aa3aa45a-ab0a-4f3e-9629-ed8e8e68b533
a348f979-bf8f-4ff7-9fc1-8d2c370a6021_1946_1955,#c c walks back,a348f979-bf8f-4ff7-9fc1-8d2c370a6021
a348f979-bf8f-4ff7-9fc1-8d2c370a6021_2046_2055,#c c puts the brick down,a348f979-bf8f-4ff7-9fc1-8d2c370a6021
543ac6fc-9f77-4cdd-b7fe-6721cb037916_21_30,#C C touches the cylinder head with his left hand.,543ac6fc-9f77-4cdd-b7fe-6721cb037916
543ac6fc-9f77-4cdd-b7fe-6721cb037916_0_6,#C C removes the cylinder head from the engine with both hands.,543ac6fc-9f77-4cdd-b7fe-6721cb037916
a2b38cad-b708-4956-8d37-0b8f474c75f5_2775_2784,#C C picks the screw driver from the floor with his right hand,a2b38cad-b708-4956-8d37-0b8f474c75f5
a2b38cad-b708-4956-8d37-0b8f474c75f5_2952_2961,#C C picks a screw driver from the floor with his left hand,a2b38cad-b708-4956-8d37-0b8f474c75f5
a2b38cad-b708-4956-8d37-0b8f474c75f5_2732_2741,#C C screws the screw to the alternator with the screw driver in his right hand,a2b38cad-b708-4956-8d37-0b8f474c75f5
4e3fc1e9-424f-4921-9068-d468c135f347_100_109,#C C drops the camera on the table,4e3fc1e9-424f-4921-9068-d468c135f347
4e3fc1e9-424f-4921-9068-d468c135f347_0_8,#C C checks the camera with both hands,4e3fc1e9-424f-4921-9068-d468c135f347
4e3fc1e9-424f-4921-9068-d468c135f347_60_69,#C C lifts the camera off the table,4e3fc1e9-424f-4921-9068-d468c135f347
be8889c4-114f-4cb2-9e2c-fef576dbb00d_1626_1635,#C C stirs food,be8889c4-114f-4cb2-9e2c-fef576dbb00d
be8889c4-114f-4cb2-9e2c-fef576dbb00d_1578_1587,#C C hits the pot,be8889c4-114f-4cb2-9e2c-fef576dbb00d
a0b158a7-745c-40ce-a5b2-d341feefdac0_0_5,#C C knits with the thread and crochet,a0b158a7-745c-40ce-a5b2-d341feefdac0
a0b158a7-745c-40ce-a5b2-d341feefdac0_289_298,#C C touches the  thread,a0b158a7-745c-40ce-a5b2-d341feefdac0
a0b158a7-745c-40ce-a5b2-d341feefdac0_90_99,#C C drags the thread,a0b158a7-745c-40ce-a5b2-d341feefdac0
abc7e388-83f7-4bea-8bf2-09211e8c104b_3480_3489,#C C moves around the stack in his hands.,abc7e388-83f7-4bea-8bf2-09211e8c104b
abc7e388-83f7-4bea-8bf2-09211e8c104b_3561_3570,#C C looks around the heap of dried grass straws.,abc7e388-83f7-4bea-8bf2-09211e8c104b
c91d9d69-c0f0-4785-a40d-27ee44fa5f6e_1649_1658,#C C draws on the book with the pencil,c91d9d69-c0f0-4785-a40d-27ee44fa5f6e
c91d9d69-c0f0-4785-a40d-27ee44fa5f6e_1607_1616,#C C takes another pencil on the bed,c91d9d69-c0f0-4785-a40d-27ee44fa5f6e
c91d9d69-c0f0-4785-a40d-27ee44fa5f6e_1568_1577,#C C takes another pencil on the bed,c91d9d69-c0f0-4785-a40d-27ee44fa5f6e
c91d9d69-c0f0-4785-a40d-27ee44fa5f6e_1582_1591,#C C takes another pencil on the bed,c91d9d69-c0f0-4785-a40d-27ee44fa5f6e
c54ec24d-abe9-40ab-902b-30f347c2a780_24_33,#C C picks up the phone,c54ec24d-abe9-40ab-902b-30f347c2a780
c54ec24d-abe9-40ab-902b-30f347c2a780_181_190,#C C moves the phone,c54ec24d-abe9-40ab-902b-30f347c2a780
c2a3d4ac-8d13-4daa-a9a9-a867999e956f_0_6,#C C picks a cardboard from a table with his left hand.,c2a3d4ac-8d13-4daa-a9a9-a867999e956f
c2a3d4ac-8d13-4daa-a9a9-a867999e956f_290_299,#C C picks a perforator with his left hand. #unsure.,c2a3d4ac-8d13-4daa-a9a9-a867999e956f
6dafeac7-75b6-4d69-96f7-d08708a0a99e_428_437,#C C drops the spatula in the frying pan.,6dafeac7-75b6-4d69-96f7-d08708a0a99e
6dafeac7-75b6-4d69-96f7-d08708a0a99e_351_360,#C C drops the wooden spoon on a pack of milk.,6dafeac7-75b6-4d69-96f7-d08708a0a99e
398ad750-86ea-4298-a97a-b6b689f1ad13_199_208,#C C carries out more exercise,398ad750-86ea-4298-a97a-b6b689f1ad13
398ad750-86ea-4298-a97a-b6b689f1ad13_110_119,#C C lays on the floor,398ad750-86ea-4298-a97a-b6b689f1ad13
f54fd12b-d439-4f3c-9d0c-293336dd33b1_589_598,#C C sweeps the floor,f54fd12b-d439-4f3c-9d0c-293336dd33b1
f54fd12b-d439-4f3c-9d0c-293336dd33b1_580_589,#C C lifts a dust pan,f54fd12b-d439-4f3c-9d0c-293336dd33b1
d02bd0da-e84e-40b8-81d7-47106f1911ae_175_184,#C C touches the front derailleur with his left hand. #Unsure,d02bd0da-e84e-40b8-81d7-47106f1911ae
d02bd0da-e84e-40b8-81d7-47106f1911ae_219_228,#C C tightens the knot of the front derailleur with the screwdriver. #Unsure,d02bd0da-e84e-40b8-81d7-47106f1911ae
2dd04abb-859f-4121-9eeb-4db511b54c7b_171_177,#C C places the paint brush on the paint bucket,2dd04abb-859f-4121-9eeb-4db511b54c7b
2dd04abb-859f-4121-9eeb-4db511b54c7b_35_44,#C C dips the paint brush into paint in the paint bucket,2dd04abb-859f-4121-9eeb-4db511b54c7b
2dd04abb-859f-4121-9eeb-4db511b54c7b_86_95,#C C dips the paint brush into paint in the paint bucket,2dd04abb-859f-4121-9eeb-4db511b54c7b
2dd04abb-859f-4121-9eeb-4db511b54c7b_116_125,#C C places the paint brush on the paint bucket,2dd04abb-859f-4121-9eeb-4db511b54c7b
ecb608ac-6443-46d4-9025-1300c456b8c8_0_5,#C C holds the vacuum cleaner with both hands.,ecb608ac-6443-46d4-9025-1300c456b8c8
ecb608ac-6443-46d4-9025-1300c456b8c8_69_78,#C C straightens the wire of the vacuum cleaner with her right hand.,ecb608ac-6443-46d4-9025-1300c456b8c8
250d59fc-e1e3-479e-946d-f108d4f38275_1354_1363,#C C squeezes the wrapper.,250d59fc-e1e3-479e-946d-f108d4f38275
250d59fc-e1e3-479e-946d-f108d4f38275_1602_1611,#C C flaps the wrapper.,250d59fc-e1e3-479e-946d-f108d4f38275
6be77236-230f-4d9b-98d5-1cbf3be34023_56_65,#C C picks a cloth,6be77236-230f-4d9b-98d5-1cbf3be34023
6be77236-230f-4d9b-98d5-1cbf3be34023_1094_1103,#C C moves hand towards face,6be77236-230f-4d9b-98d5-1cbf3be34023
bda3cdb5-32ef-433f-bc6a-e77617447d30_93_102,#c c picks a glass,bda3cdb5-32ef-433f-bc6a-e77617447d30
bda3cdb5-32ef-433f-bc6a-e77617447d30_65_74,#c c pours the dirty water from the mug to the sink,bda3cdb5-32ef-433f-bc6a-e77617447d30
433d0fc0-f6e9-46aa-8ec7-a6633cba6932_401_410,#C C holds a drawing color brushes,433d0fc0-f6e9-46aa-8ec7-a6633cba6932
433d0fc0-f6e9-46aa-8ec7-a6633cba6932_523_532,#C C colors a board with a drawing color brush,433d0fc0-f6e9-46aa-8ec7-a6633cba6932
8dd63cb0-6b7b-401d-bbc3-b5f113b67cd8_18_27,#C C lifts the bicycle wheel from the floor with his left hand.,8dd63cb0-6b7b-401d-bbc3-b5f113b67cd8
8dd63cb0-6b7b-401d-bbc3-b5f113b67cd8_51_60,#C C picks two spanners on the workshop table with his right hand.,8dd63cb0-6b7b-401d-bbc3-b5f113b67cd8
380de10c-99d3-4270-b908-6765c388a116_572_581,#C C stops watering the plants.,380de10c-99d3-4270-b908-6765c388a116
380de10c-99d3-4270-b908-6765c388a116_541_550,#C C drags the hose with his left hand.,380de10c-99d3-4270-b908-6765c388a116
380de10c-99d3-4270-b908-6765c388a116_429_438,#C C adjusts the hose with his left hand.,380de10c-99d3-4270-b908-6765c388a116
3ef71673-7e7b-4a24-a5f7-a4e291a07601_0_5,#C C colors a drawing,3ef71673-7e7b-4a24-a5f7-a4e291a07601
3ef71673-7e7b-4a24-a5f7-a4e291a07601_17_26,#C C moves a book,3ef71673-7e7b-4a24-a5f7-a4e291a07601
0dbabadf-c3d5-4e98-bb20-ce9d930c2474_896_905,#C C places rack against the door,0dbabadf-c3d5-4e98-bb20-ce9d930c2474
0dbabadf-c3d5-4e98-bb20-ce9d930c2474_942_951,#C C removes cable from the rack,0dbabadf-c3d5-4e98-bb20-ce9d930c2474
35fa3da9-4e1a-4d02-b4e2-98ff0db7ce05_8_17,#C C moves the empty pan from the pan of food to a kitchen sink,35fa3da9-4e1a-4d02-b4e2-98ff0db7ce05
35fa3da9-4e1a-4d02-b4e2-98ff0db7ce05_0_5,#C C pours the food into a pan of food on the cooker,35fa3da9-4e1a-4d02-b4e2-98ff0db7ce05
105c43dd-ba43-477c-94f7-0053435a0576_326_335,#C C removes the bolt from the lawnmower with his left hand,105c43dd-ba43-477c-94f7-0053435a0576
105c43dd-ba43-477c-94f7-0053435a0576_314_323,#C C loosens a bolt with the wrench,105c43dd-ba43-477c-94f7-0053435a0576
dfdfde56-5e0f-4e8f-aa5b-73fae9336086_1172_1181,#C C fixes the wire in the mechanical device with his hands,dfdfde56-5e0f-4e8f-aa5b-73fae9336086
dfdfde56-5e0f-4e8f-aa5b-73fae9336086_1147_1156,#C C examines the device with his right hand,dfdfde56-5e0f-4e8f-aa5b-73fae9336086
68b90b42-7e3c-443f-9bac-e1fb46ee40b8_326_335,#C C turns the bowl with his hands still in the bowl of dough.,68b90b42-7e3c-443f-9bac-e1fb46ee40b8
68b90b42-7e3c-443f-9bac-e1fb46ee40b8_526_535,#C C drops the bowl of dough on the table.,68b90b42-7e3c-443f-9bac-e1fb46ee40b8
20f345f7-d592-4d52-851f-3ee4544a847d_164_173,#C C cycles along the road,20f345f7-d592-4d52-851f-3ee4544a847d
20f345f7-d592-4d52-851f-3ee4544a847d_149_158,#C C stops at the stop sign,20f345f7-d592-4d52-851f-3ee4544a847d
d20f6551-0272-4a69-8b02-da7ffcf29e0f_599_608,#C C puts the onion cover down,d20f6551-0272-4a69-8b02-da7ffcf29e0f
d20f6551-0272-4a69-8b02-da7ffcf29e0f_737_746,#C C cuts the onion,d20f6551-0272-4a69-8b02-da7ffcf29e0f
25eca07b-a5e2-433e-b7c0-24b5d8e153de_0_6,#C C wears the seat belt,25eca07b-a5e2-433e-b7c0-24b5d8e153de
25eca07b-a5e2-433e-b7c0-24b5d8e153de_1871_1880,#C C drives,25eca07b-a5e2-433e-b7c0-24b5d8e153de
79001765-abc6-439b-a987-367dd4d1d5f6_27_36,#C C picks a jug.,79001765-abc6-439b-a987-367dd4d1d5f6
79001765-abc6-439b-a987-367dd4d1d5f6_175_184,#C C puts the pot in the cabinet.,79001765-abc6-439b-a987-367dd4d1d5f6
79001765-abc6-439b-a987-367dd4d1d5f6_96_105,#C C picks up a pan.,79001765-abc6-439b-a987-367dd4d1d5f6
79001765-abc6-439b-a987-367dd4d1d5f6_154_163,#C C picks a pot.,79001765-abc6-439b-a987-367dd4d1d5f6
79001765-abc6-439b-a987-367dd4d1d5f6_39_48,#C C cleans the jug.,79001765-abc6-439b-a987-367dd4d1d5f6
79001765-abc6-439b-a987-367dd4d1d5f6_112_121,#C C touches the pans in the cabinet.,79001765-abc6-439b-a987-367dd4d1d5f6
df59a988-5814-4bc4-9445-93d50cef9b69_149_158,#C C removes his right hand from the lawn trimmer assist handle.,df59a988-5814-4bc4-9445-93d50cef9b69
df59a988-5814-4bc4-9445-93d50cef9b69_0_6,#C C cuts grass around the lawn.,df59a988-5814-4bc4-9445-93d50cef9b69
